"StockSymbol";"BloombergTicker";"YahooTicker";"StockName";"StockCurrency";"CountryName";"IndustryName";"SectorName";"BusinessSummary"
"NOVN.CH";"NOVN SW Equity";"NOVN.SW";"Novartis AG";"CHF";"Switzerland";"Drug Manufacturers—General";"Healthcare";"Novartis AG researches, develops, manufactures, and markets healthcare products in Switzerland and internationally. The company operates through two segments: Innovative Medicines and Sandoz. The Innovative Medicines segment offers prescription medicines for patients and physicians. It also provides cardiovascular, ophthalmology, neuroscience, immunology, hematology, and solid tumor products. The Sandoz segment develops, manufactures, and markets finished dosage forms of small molecule pharmaceuticals to third parties. It also provides protein- or other biotechnology-based products, including biosimilars; and biotechnology manufacturing services; and anti-infectives, such as active pharmaceutical ingredients and intermediates primarily antibiotics. Novartis AG has a license and collaboration agreement with Alnylam Pharmaceuticals to develop, manufacture, and commercialize inclisiran, a therapy to reduce LDL cholesterol. Novartis AG was incorporated in 1996 and is headquartered in Basel, Switzerland."
"ROG.CH";"ROG SW Equity";"ROG.SW";"Roche Holding AG";"CHF";"Switzerland";"Drug Manufacturers—General";"Healthcare";"Roche Holding AG engages in the pharmaceuticals and diagnostics businesses in Switzerland, Germany, the United States, and internationally. The company offers pharmaceutical products in the therapeutic areas of oncology, neuroscience, infectious diseases, immunology, hemophilia, ophthalmology, dermatology, respiratory, anemia, inflammatory and autoimmune, and transplantation. It also offers in vitro tests for the diagnosis of various diseases, such as cancer, cardiovascular, diabetes, Covid-19, hepatitis, human papillomavirus, and other diseases. In addition, the company supplies diagnostic instruments and reagents. It has a research collaboration agreement with Synlogic, Inc. for the discovery of a novel synthetic biotic for the treatment of inflammatory bowel disease (IBD). Roche Holding AG was founded in 1896 and is headquartered in Basel, Switzerland."
"KOMB.CZ";"KOMB CP Equity";"KOMB.PR";"Komercní banka, a.s.";"CZK";"Czech Republic";"Banks—Regional";"Financial Services";"Komercní banka, a.s., together with its subsidiaries, provides various retail, corporate, and investment banking services primarily in the Czech Republic, and Central and Eastern Europe. It accepts various deposits, such as current and savings accounts, term deposits, building savings, and foreign currency accounts. The company's loan products include optimal, personal, student, and home equity/secured loans; loans for start-up businesses, business loans, business operating loans, and revolving loans; operational, installment, claims, and structured finance, as well as finances for acquisitions and mergers; and mortgage loans. It also offers payment, debit, and credit cards; investment products; life, travel and card, and property insurance products; pension products; overdraft, trade and export, bond issuance, cash and payment, cash pooling, bills of exchange, financial instruments trading, leases, foreign currency and derivative, and guarantee transaction services. In addition, the company provides E-banking, telephone, and mobile banking services. It serves individuals, small businesses, corporates, and municipalities. The company was founded in 1990 and is headquartered in Prague, the Czech Republic. Komercní banka, a.s. is a subsidiary of Société Générale S.A."
"MONET.CZ";"MONET CP Equity";"MONET.PR";"MONETA Money Bank, a.s.";"CZK";"Czech Republic";"Banks—Regional";"Financial Services";"MONETA Money Bank, a.s., together with its subsidiaries, provides banking and financial products and services to retail customers, small and medium-sized enterprises, corporate clients, and financial and public sector institutions in the Czech Republic. The company operates through Commercial Clients, Retail Clients, and Treasury/Other segments. It offers various deposit products, including current and savings accounts, building savings, term deposits, and transactional banking products. The company also provides secured lending products, such as mortgages and finance leases; unsecured lending products comprising consumer and auto loans, credit cards, personal overdrafts, building savings loans, and bridging loans; and commercial lending products that include working capital, investment loans, finance leases, auto loans, inventory financing, financing of small businesses and entrepreneurs through guarantees, letters of credits, and foreign exchange transactions. In addition, it intermediates additional payment protection insurance, which covers the customer's monthly loan payment in the event of unemployment, accident, or sickness; and acts as the intermediary to provide its customers with other insurance and investment products. Further, the company is involved in the interest rate swaps, debt securities investment, equity investments, and other noninterest bearing assets activities, as well as provision of debit and credit cards. It operates a through a network of branches and ATMs. The company was formerly known as GE Money Bank, a.s. and changed its name to MONETA Money Bank, a.s. in May 2016. MONETA Money Bank, a.s. was incorporated in 1998 and is headquartered in Prague, the Czech Republic."
"CZG.CZ";"CZG CP Equity";"CZG.PR";"Colt CZ Group SE";"CZK";"Czech Republic";"Aerospace & Defense";"Industrials";"Colt CZ Group SE, together with its subsidiaries, engages in the production, purchase, and sale of firearms, ammunition products, and tactical accessories in the Czech Republic, the United States, rest of Europe, Africa, Asia, and internationally. Its firearms include pistols, revolvers, rifles, submachine guns, grenade launchers, machine guns, sniper rifles, shotguns, and centrefire rifles; and components for firearms comprising sights, optical mounting solutions, triggers, stocks, grips, and spare parts. The company also offers tactical and ballistic equipment, such as ballistic vests, helmets and other protection products, combat uniforms, and backpacks, as well as firearms accessories consisting of handgun holsters, magazine pouches, and slings. In addition, it is also involved in the lease of real estate properties; and trade of military materials. The company markets and sells its products under the Colt, CZ (Ceská zbrojovka), CZ-USA, Colt Canada, Dan Wesson, Brno Rifles, and 4M Systems brands. It sells its products for armed forces, military and law enforcement, personal defense, hunting, sport shooting, and other civilian uses. The company was formerly known as CZG - Ceská zbrojovka Group SE and changed its name to Colt CZ Group SE in April 2022. The company was founded in 1936 and is headquartered in Prague, the Czech Republic. Colt CZ Group SE is a subsidiary of Ceska Zbrojovka Partners SE."
"KOFOL.CZ";"KOFOL CP Equity";"KOFOL.PR";"Kofola CeskoSlovensko a.s.";"CZK";"Czech Republic";"Beverages—Non-Alcoholic";"Consumer Defensive";"Kofola CeskoSlovensko a.s., together with its subsidiaries, engages in production and distribution of non-alcoholic beverages in the Czech Republic, Slovakia, Slovenia, Croatia, Poland, and internationally. It provides carbonated and non-carbonated beverages, water, syrups, jams, energy and isotonic drinks, fresh juices, fresh bars and salad, herbal teas, and coffee. The company offers its products primarily under the Kofola, Vinea, Radenska, Studenac, Korunní, Rajec, Ondráovka, Klátorná Kalcia, Jupí, Jupík, Semtex, UGO, Leros, Café Reserva, Trepallini, Rauch, Evian, Vincentka, and Dilmah brand names, as well as under private labels for third parties, such as retail chains. It is also involved in the provision of road cargo transport services; trademark licensing business; marketing activities; and operation of a chain of fresh bars. The company was founded in 1887 is headquartered in Ostrava, the Czech Republic. Kofola CeskoSlovensko a.s. operates as a subsidiary of AETOS a.s."
"VIG.CZ";"VIG CP Equity";"VIG.PR";"Vienna Insurance Group AG";"CZK";"Austria";"Insurance—Diversified";"Financial Services";"Vienna Insurance Group AG, together with its subsidiaries, provides various insurance products and services in life, health, and property and casualty areas in Austria and internationally. The company offers motor own damage, rail vehicle own damage, aircraft own damage, transport, fire and natural hazards, third party liability, carrier, aircraft liability, general liability, credit, guarantee, legal expenses, assistance, marine, aviation, and travel health insurance products, as well as sea, lake, and river shipping own damage and liability insurance products. It also offers reinsurance products and services. The company sells its products through sales employees, banks, brokers, and agents. Vienna Insurance Group AG was founded in 1824 and is headquartered in Vienna, Austria. Vienna Insurance Group AG is a subsidiary of Wiener Städtische Wechselseitige Versicherungsverein - Vermögensverwaltung - Vienna Insurance Group."
"DBK.DE";"DBK GY Equity";"DBK.DE";"Deutsche Bank Aktiengesellschaft";"EUR";"Germany";"Banks—Regional";"Financial Services";"Deutsche Bank Aktiengesellschaft, operates as a stock corporation, engages in the provision of corporate and investment banking, and asset management products and services to private clients, corporate entities, and institutional clients worldwide. Its Corporate Bank segment provides cash management, trade finance and lending, trust and agency, foreign exchange, and securities services, as well as risk management solutions. The company's Investment Bank segment offers debt origination, merger and acquisitions, and equity advisory services. Its Private Bank segment provides payment and account services, and credit and deposit products, as well as investment advice products, such as environmental, social, and governance products. This segment also provides banking, wealth management services, postal and parcel services; and offers support in planning, managing and investing wealth, financing personal and business interests, and servicing institutional and corporate needs. The company's Asset Management segment provides investment solutions, such as alternative investments, which include real estate, infrastructure, private equity, liquid real assets, and sustainable investments; and various other services, including insurance and pension solutions, asset liability management, portfolio management solutions, and asset allocation advisory to individuals and institutions. Deutsche Bank Aktiengesellschaft was founded in 1870 and is based in Frankfurt am Main, Germany."
"ADS.DE";"ADS GY Equity";"ADS.DE";"adidas AG";"EUR";"Germany";"Footwear & Accessories";"Consumer Cyclical";"adidas AG, together with its subsidiaries, designs, develops, produces, and markets athletic and sports lifestyle products in Europe, the Middle east, Africa, North America, Greater China, the Asia-Pacific, and Latin America. It offers footwear; apparel; and accessories and gear, such as bags and balls under the adidas brand. It sells its products through own retail stores; mono-branded franchise stores and shop-in-shops; and wholesale and its e-commerce channels. The company was formerly known as adidas-Salomon AG and changed its name to adidas AG in June 2006. adidas AG was founded in 1920 and is headquartered in Herzogenaurach, Germany."
"LHA.DE";"LHA GY Equity";"LHA.DE";"Deutsche Lufthansa AG";"EUR";"Germany";"Airlines";"Industrials";"Deutsche Lufthansa AG operates as an aviation company in Germany and internationally. The company's Network Airlines segment offers passenger services. Its Eurowings segment provides passenger services through a route network of more than 100 destinations in over 50 countries. The company's Logistics Business segment offers airfreight container management services; and e-commerce solutions  for approximately 300 destinations in 100 countries. Its Maintenance, Repair and Overhaul Services (MRO) segment provides maintenance, repair, and overhaul services for civil commercial aircraft serving original equipment manufacturers and aircraft leasing companies, operators of VIP jets, and airlines. The company's Catering Business segment engages in-flight services, and home delivery market and retail, as well as other areas, such as retail and food producers. As of December 31, 2022, it had a fleet of 710 aircraft. The company was founded in 1926 and is headquartered in Cologne, Germany."
